Year,Week,BA_NSA,HBA_NSA,WBA_NSA,CBA_NSA,YY_BA_NSA,YY_HBA_NSA,YY_WBA_NSA,YY_CBA_NSA
2006,1,39580,22590,14960,12800,,,,
2006,2,36920,23160,15840,14420,,,,
2006,3,63300,37470,24480,21730,,,,
2006,4,51910,30740,20270,17270,,,,
2006,5,61430,35700,22820,19950,,,,
2006,6,62890,36190,22810,19680,,,,
2006,7,61790,34940,21900,19140,,,,
2006,8,57910,33390,20720,18930,,,,
2006,9,52080,29860,18490,16940,,,,
2006,10,63440,36010,22160,20420,,,,
2006,11,60960,34810,21450,20010,,,,
2006,12,62540,36380,22080,21490,,,,
2006,13,61960,35280,21340,20280,,,,
2006,14,62270,35140,21250,19870,,,,
2006,15,59090,33340,20110,18830,,,,
2006,16,54940,30510,18230,16970,,,,
2006,17,54730,30340,18180,16970,,,,
2006,18,57850,33750,20150,19760,,,,
2006,19,58370,34190,19940,20300,,,,
2006,20,54980,31980,19330,18750,,,,
2006,21,53850,31160,18750,18170,,,,
2006,22,52340,30430,18580,17590,,,,
2006,23,40240,22920,14140,13360,,,,
2006,24,53600,30630,18670,17720,,,,
2006,25,53530,30890,18700,18160,,,,
2006,26,50250,29040,17660,16760,,,,
2006,27,49860,28910,17650,16870,,,,
2006,28,35330,20300,12500,11900,,,,
2006,29,51020,29230,18000,16670,,,,
2006,30,49810,28530,17460,16580,,,,
2006,31,48770,28080,17260,16090,,,,
2006,32,48230,27870,17120,15990,,,,
2006,33,48930,27980,16740,16190,,,,
2006,34,48690,27810,16800,15640,,,,
2006,35,50030,28470,17360,16120,,,,
2006,36,49260,27640,16660,15700,,,,
2006,37,36730,21130,12770,12360,,,,
2006,38,48350,27570,16460,15870,,,,
2006,39,48180,27730,16450,15890,,,,
2006,40,49720,28340,17020,16270,,,,
2006,41,48950,28040,16860,16060,,,,
2006,42,37310,21640,13010,12620,,,,
2006,43,44830,25930,15540,14750,,,,
2006,44,45420,26560,15970,15200,,,,
2006,45,44700,26230,15940,15260,,,,
2006,46,35360,20860,12520,12040,,,,
2006,47,50500,29290,17710,16980,,,,
2006,48,35770,20390,12310,11390,,,,
2006,49,43310,25370,15560,14630,,,,
2006,50,44670,26110,16070,15090,,,,
2006,51,45490,26650,16720,15310,,,,
2006,52,60800,35470,22320,20190,,,,
2007,1,41440,24360,15840,14320,4.7,7.84,5.88,11.88
2007,2,17620,10690,7110,6490,-52.28,-53.84,-55.11,-54.99
2007,3,74560,44800,28820,26000,17.79,19.56,17.73,19.65
2007,4,50830,30390,19270,17120,-2.08,-1.14,-4.93,-0.87
2007,5,61230,35780,22250,19900,-0.33,0.22,-2.5,-0.25
2007,6,61290,35550,22450,19140,-2.54,-1.77,-1.58,-2.74
2007,7,57370,32980,20190,18070,-7.15,-5.61,-7.81,-5.59
2007,8,54140,30980,19100,17160,-6.51,-7.22,-7.82,-9.35
2007,9,45900,26070,15620,14310,-11.87,-12.69,-15.52,-15.53
2007,10,61500,34920,21200,19320,-3.06,-3.03,-4.33,-5.39
2007,11,66150,38030,23050,21520,8.51,9.25,7.46,7.55
2007,12,59610,34460,20700,19870,-4.69,-5.28,-6.25,-7.54
2007,13,59220,33870,20440,19210,-4.42,-4.0,-4.22,-5.28
2007,14,57310,32970,19900,18430,-7.97,-6.18,-6.35,-7.25
2007,15,56190,31880,19330,17380,-4.91,-4.38,-3.88,-7.7
2007,16,53200,29940,18150,15950,-3.17,-1.87,-0.44,-6.01
2007,17,55490,30720,18270,16520,1.39,1.25,0.5,-2.65
2007,18,57480,33300,20200,18420,-0.64,-1.33,0.25,-6.78
2007,19,56280,32500,19730,18250,-3.58,-4.94,-1.05,-10.1
2007,20,53460,30740,18390,17450,-2.76,-3.88,-4.86,-6.93
2007,21,53220,31160,18160,18130,-1.17,0.0,-3.15,-0.22
2007,22,53860,31440,18940,18160,2.9,3.32,1.94,3.24
2007,23,41440,23950,14500,13770,2.98,4.49,2.55,3.07
2007,24,54530,31090,18860,17720,1.74,1.5,1.02,0.0
2007,25,50780,29170,17590,16590,-5.14,-5.57,-5.94,-8.65
2007,26,50230,29000,17800,16580,-0.04,-0.14,0.79,-1.07
2007,27,50800,29490,17920,16840,1.89,2.01,1.53,-0.18
2007,28,38480,22460,13840,12840,8.92,10.64,10.72,7.9
2007,29,48400,27800,16910,15560,-5.14,-4.89,-6.06,-6.66
2007,30,50200,28950,17570,16280,0.78,1.47,0.63,-1.81
2007,31,47390,26690,16140,14740,-2.83,-4.95,-6.49,-8.39
2007,32,52990,30620,18550,17120,9.87,9.87,8.35,7.07
2007,33,48820,28090,16950,15980,-0.22,0.39,1.25,-1.3
2007,34,46110,26410,15910,14830,-5.3,-5.03,-5.3,-5.18
2007,35,48320,27910,16560,15920,-3.42,-1.97,-4.61,-1.24
2007,36,50050,28710,17250,16180,1.6,3.87,3.54,3.06
2007,37,35250,19540,11510,10840,-4.03,-7.52,-9.87,-12.3
2007,38,49400,27900,16460,15600,2.17,1.2,0.0,-1.7
2007,39,60640,31370,17050,17720,25.86,13.13,3.65,11.52
2007,40,54530,27390,14130,15220,9.67,-3.35,-16.98,-6.45
2007,41,54660,27370,14150,15600,11.66,-2.39,-16.07,-2.86
2007,42,43180,21300,10480,12000,15.73,-1.57,-19.45,-4.91
2007,43,51220,24770,12180,13720,14.25,-4.47,-21.62,-6.98
2007,44,50390,25020,12700,13730,10.94,-5.8,-20.48,-9.67
2007,45,49050,24350,12370,13530,9.73,-7.17,-22.4,-11.34
2007,46,48000,23680,11710,13080,35.75,13.52,-6.47,8.64
2007,47,42610,21160,10700,11810,-15.62,-27.76,-39.58,-30.45
2007,48,33760,16670,8520,9260,-5.62,-18.24,-30.79,-18.7
2007,49,46190,22750,11670,12660,6.65,-10.33,-25.0,-13.47
2007,50,47360,23320,11930,13060,6.02,-10.69,-25.76,-13.45
2007,51,47130,23560,12120,13080,3.61,-11.59,-27.51,-14.57
2007,52,50250,25420,13830,14260,-17.35,-28.33,-38.04,-29.37
2008,1,32470,16630,9400,9420,-21.65,-31.73,-40.66,-34.22
2008,2,33750,17700,10280,10290,91.54,65.58,44.59,58.55
2008,3,60520,30730,16620,16880,-18.83,-31.41,-42.33,-35.08
2008,4,60280,30550,15880,16520,18.59,0.53,-17.59,-3.5
2008,5,54580,26740,13970,14170,-10.86,-25.27,-37.21,-28.79
2008,6,61480,30410,15640,15690,0.31,-14.46,-30.33,-18.03
2008,7,57290,27980,14300,14990,-0.14,-15.16,-29.17,-17.04
2008,8,55620,26810,13820,14190,2.73,-13.46,-27.64,-17.31
2008,9,52400,25470,13000,13640,14.16,-2.3,-16.77,-4.68
2008,10,61610,30150,15430,15590,0.18,-13.66,-27.22,-19.31
2008,11,59920,29190,14800,15620,-9.42,-23.24,-35.79,-27.42
2008,12,59210,29000,14430,16070,-0.67,-15.84,-30.29,-19.12
2008,13,57540,28150,13870,15580,-2.84,-16.89,-32.14,-18.9
2008,14,56030,27240,13810,14920,-2.23,-17.38,-30.6,-19.05
2008,15,58290,28200,14010,14790,3.74,-11.54,-27.52,-14.9
2008,16,56520,26600,12830,13930,6.24,-11.16,-29.31,-12.66
2008,17,56180,26580,12840,13740,1.24,-13.48,-29.72,-16.83
2008,18,54570,27030,13380,14620,-5.06,-18.83,-33.76,-20.63
2008,19,55600,27650,13980,15100,-1.21,-14.92,-29.14,-17.26
